,Fixed Lenght,Recursive,Recursive overlapping 20%,Recursive overlapping 50%
0,0.3,0.25,0.25,0.25
1,0.2,0.2,0.2,0.2
2,0.0,1.0,0.0,1.0
3,0.5,0.25,0.25,0.25
4,0.13636363636363635,0.13636363636363635,0.22727272727272727,0.13636363636363635
5,0.35,0.2,0.2,0.2
6,0.7777777777777778,0.6666666666666666,0.8888888888888888,0.8888888888888888
7,1.0,1.0,1.0,1.0
8,0.8,0.0,0.2,0.0
9,0.8,0.8,0.8,0.8
10,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
11,0.8,0.4,0.4,0.4
12,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.6666666666666666
13,0.75,1.0,0.875,0.5
14,0.2702702702702703,0.2972972972972973,0.32432432432432434,0.2702702702702703
15,0.3333333333333333,0.6666666666666666,1.0,1.0
16,0.75,0.75,0.75,0.75
17,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.4444444444444444
18,0.6190476190476191,0.5714285714285714,0.5238095238095238,0.6666666666666666
19,0.2727272727272727,0.45454545454545453,0.9090909090909091,0.2727272727272727
20,0.3142857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857
21,1.0,0.0,0.0,0.0
22,0.4583333333333333,0.5,0.5416666666666666,0.5
23,0.3870967741935484,0.3225806451612903,0.3548387096774194,0.3548387096774194
24,0.47368421052631576,0.47368421052631576,0.4473684210526316,0.47368421052631576
25,0.391304347826087,0.5217391304347826,0.43478260869565216,0.5217391304347826
26,0.6333333333333333,0.3333333333333333,0.3,0.5666666666666667
27,1.0,1.0,1.0,1.0
28,0.9375,0.9375,0.9375,0.9375
29,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.3333333333333333
30,0.6923076923076923,0.3076923076923077,0.46153846153846156,0.23076923076923078
31,0.3953488372093023,0.3953488372093023,0.4883720930232558,0.4186046511627907
32,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.5454545454545454
33,0.36363636363636365,0.4090909090909091,0.2727272727272727,0.3181818181818182
34,0.5714285714285714,0.35714285714285715,0.5714285714285714,0.7857142857142857
35,0.16666666666666666,0.1388888888888889,0.3333333333333333,0.1388888888888889
36,0.20588235294117646,0.3235294117647059,0.20588235294117646,0.14705882352941177
37,1.0,1.0,1.0,1.0
38,0.35555555555555557,0.5555555555555556,0.4666666666666667,0.8
39,0.42105263157894735,0.5263157894736842,0.9473684210526315,0.6842105263157895
40,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.5555555555555556
41,0.8235294117647058,0.5882352941176471,0.5882352941176471,0.7647058823529411
42,1.0,0.0,1.0,1.0
43,0.8,0.8,0.8,0.8
44,0.4473684210526316,0.47368421052631576,0.5789473684210527,0.2894736842105263
45,0.75,0.75,0.75,0.75
46,0.6428571428571429,0.5714285714285714,0.7857142857142857,0.5714285714285714
47,0.8947368421052632,1.0,0.9473684210526315,0.9473684210526315
48,0.5,1.0,1.0,1.0
49,0.8125,0.5625,0.4375,1.0
